2019-04-18 01:17:37.719 user:1; udid:cab3bcf5a0970fb3; os:Windows 10(10.0, amd64) OpenJDK 64-Bit Server VM 1.8.0_191-1-ojdkbuild-b12; program_version:1.35.758; install_date:2019-03-25 15:12:58; 
2019-04-18 01:50:48.615 user:1; udid:cab3bcf5a0970fb3; os:Windows 10(10.0, amd64) OpenJDK 64-Bit Server VM 1.8.0_191-1-ojdkbuild-b12; program_version:1.35.758; install_date:2019-03-25 15:12:58; 
2019-04-18 01:58:02.857 user:1; udid:cab3bcf5a0970fb3; os:Windows 10(10.0, amd64) OpenJDK 64-Bit Server VM 1.8.0_191-1-ojdkbuild-b12; program_version:1.35.758; install_date:2019-03-25 15:12:58; 
2019-04-18 02:00:29.331 user:1; udid:cab3bcf5a0970fb3; os:Windows 10(10.0, amd64) OpenJDK 64-Bit Server VM 1.8.0_191-1-ojdkbuild-b12; program_version:1.35.758; install_date:2019-03-25 15:12:58; 
2019-04-18 02:05:20.291 user:1; udid:cab3bcf5a0970fb3; os:Windows 10(10.0, amd64) OpenJDK 64-Bit Server VM 1.8.0_191-1-ojdkbuild-b12; program_version:1.35.758; install_date:2019-03-25 15:12:58; 
2019-04-18 02:07:48.630 user:1; udid:cab3bcf5a0970fb3; os:Windows 10(10.0, amd64) OpenJDK 64-Bit Server VM 1.8.0_191-1-ojdkbuild-b12; program_version:1.35.758; install_date:2019-03-25 15:12:58; 
2019-04-18 02:16:51.408 user:1; udid:cab3bcf5a0970fb3; os:Windows 10(10.0, amd64) OpenJDK 64-Bit Server VM 1.8.0_191-1-ojdkbuild-b12; program_version:1.35.758; install_date:2019-03-25 15:12:58; 
2019-04-18 02:18:25.047 user:1; udid:cab3bcf5a0970fb3; os:Windows 10(10.0, amd64) OpenJDK 64-Bit Server VM 1.8.0_191-1-ojdkbuild-b12; program_version:1.35.758; install_date:2019-03-25 15:12:58; 
2019-04-18 02:26:24.004 user:1; udid:cab3bcf5a0970fb3; os:Windows 10(10.0, amd64) OpenJDK 64-Bit Server VM 1.8.0_191-1-ojdkbuild-b12; program_version:1.35.758; install_date:2019-03-25 15:12:58; 
2019-04-18 02:30:32.097 user:1; udid:cab3bcf5a0970fb3; os:Windows 10(10.0, amd64) OpenJDK 64-Bit Server VM 1.8.0_191-1-ojdkbuild-b12; program_version:1.35.758; install_date:2019-03-25 15:12:58; 
2019-04-18 02:58:57.857 user:1; udid:cab3bcf5a0970fb3; os:Windows 10(10.0, amd64) OpenJDK 64-Bit Server VM 1.8.0_191-1-ojdkbuild-b12; program_version:1.35.758; install_date:2019-03-25 15:12:58; 
2019-04-18 03:13:13.382 user:1; udid:cab3bcf5a0970fb3; os:Windows 10(10.0, amd64) OpenJDK 64-Bit Server VM 1.8.0_191-1-ojdkbuild-b12; program_version:1.35.758; install_date:2019-03-25 15:12:58; 
2019-04-18 03:31:28.176 user:1; udid:cab3bcf5a0970fb3; os:Windows 10(10.0, amd64) OpenJDK 64-Bit Server VM 1.8.0_191-1-ojdkbuild-b12; program_version:1.35.758; install_date:2019-03-25 15:12:58; 
2019-04-18 03:44:09.503 user:1; udid:cab3bcf5a0970fb3; os:Windows 10(10.0, amd64) OpenJDK 64-Bit Server VM 1.8.0_191-1-ojdkbuild-b12; program_version:1.35.758; install_date:2019-03-25 15:12:58; 
2019-04-19 03:19:21.113 user:1; udid:cab3bcf5a0970fb3; os:Windows 10(10.0, amd64) OpenJDK 64-Bit Server VM 1.8.0_191-1-ojdkbuild-b12; program_version:1.35.758; install_date:2019-03-25 15:12:58; 
2019-04-19 03:38:34.266 user:1; udid:cab3bcf5a0970fb3; os:Windows 10(10.0, amd64) OpenJDK 64-Bit Server VM 1.8.0_191-1-ojdkbuild-b12; program_version:1.35.758; install_date:2019-03-25 15:12:58; 
2019-04-19 03:41:44.497 user:1; udid:cab3bcf5a0970fb3; os:Windows 10(10.0, amd64) OpenJDK 64-Bit Server VM 1.8.0_191-1-ojdkbuild-b12; program_version:1.35.758; install_date:2019-03-25 15:12:58; 
2019-04-19 09:20:47.844 user:1; udid:cab3bcf5a0970fb3; os:Windows 10(10.0, amd64) OpenJDK 64-Bit Server VM 1.8.0_191-1-ojdkbuild-b12; program_version:1.35.758; install_date:2019-03-25 15:12:58; 
2019-04-22 01:34:54.731 user:1; udid:cab3bcf5a0970fb3; os:Windows 10(10.0, amd64) OpenJDK 64-Bit Server VM 1.8.0_191-1-ojdkbuild-b12; program_version:1.35.758; install_date:2019-03-25 15:12:58; 
2019-04-22 01:38:05.762 user:1; udid:cab3bcf5a0970fb3; os:Windows 10(10.0, amd64) OpenJDK 64-Bit Server VM 1.8.0_191-1-ojdkbuild-b12; program_version:1.35.758; install_date:2019-03-25 15:12:58; 
2019-04-22 01:56:19.175 user:1; udid:cab3bcf5a0970fb3; os:Windows 10(10.0, amd64) OpenJDK 64-Bit Server VM 1.8.0_191-1-ojdkbuild-b12; program_version:1.35.758; install_date:2019-03-25 15:12:58; 
2019-04-22 07:25:56.347 user:1; udid:cab3bcf5a0970fb3; os:Windows 10(10.0, amd64) OpenJDK 64-Bit Server VM 1.8.0_191-1-ojdkbuild-b12; program_version:1.35.758; install_date:2019-03-25 15:12:58; 
2019-04-23 01:05:06.471 user:1; udid:cab3bcf5a0970fb3; os:Windows 10(10.0, amd64) OpenJDK 64-Bit Server VM 1.8.0_191-1-ojdkbuild-b12; program_version:1.35.758; install_date:2019-03-25 15:12:58; 
2019-04-23 01:07:47.607 user:1; udid:cab3bcf5a0970fb3; os:Windows 10(10.0, amd64) OpenJDK 64-Bit Server VM 1.8.0_191-1-ojdkbuild-b12; program_version:1.35.758; install_date:2019-03-25 15:12:58; 
2019-04-23 01:10:59.492 user:1; udid:cab3bcf5a0970fb3; os:Windows 10(10.0, amd64) OpenJDK 64-Bit Server VM 1.8.0_191-1-ojdkbuild-b12; program_version:1.35.758; install_date:2019-03-25 15:12:58; 
2019-04-23 01:13:36.039 user:1; udid:cab3bcf5a0970fb3; os:Windows 10(10.0, amd64) OpenJDK 64-Bit Server VM 1.8.0_191-1-ojdkbuild-b12; program_version:1.35.758; install_date:2019-03-25 15:12:58; 
2019-04-23 01:22:40.639 user:1; udid:cab3bcf5a0970fb3; os:Windows 10(10.0, amd64) OpenJDK 64-Bit Server VM 1.8.0_191-1-ojdkbuild-b12; program_version:1.35.758; install_date:2019-03-25 15:12:58; 
2019-04-23 02:17:45.000 user:1; udid:cab3bcf5a0970fb3; os:Windows 10(10.0, amd64) OpenJDK 64-Bit Server VM 1.8.0_191-1-ojdkbuild-b12; program_version:1.35.758; install_date:2019-03-25 15:12:58; 
2019-04-23 02:26:25.398 user:1; udid:cab3bcf5a0970fb3; os:Windows 10(10.0, amd64) OpenJDK 64-Bit Server VM 1.8.0_191-1-ojdkbuild-b12; program_version:1.35.758; install_date:2019-03-25 15:12:58; 
2019-04-23 02:43:13.287 user:1; udid:cab3bcf5a0970fb3; os:Windows 10(10.0, amd64) OpenJDK 64-Bit Server VM 1.8.0_191-1-ojdkbuild-b12; program_version:1.35.758; install_date:2019-03-25 15:12:58; 
